;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
267;inden conv pec lic compensatoria exer funcao;769;1;1;NA;NA;0;;
268;indenizacaodelicencacompensatoriaacervo;759;1;1;NA;NA;0;;
269;designacaosubstituicao indenizacao de licenca premio gratificacao por acumulacao de acervo;758;0;1;NA;NA;0;;
270;vantagem lei 843292;750;0;1;NA;NA;0;;
271;auxiliosaude magistrados;746;0;1;NA;NA;0;;
272;gratpor encargo de licitacao pregoeiro;744;1;1;NA;NA;0;;
273;gratificacao aula emeron;736;0;1;NA;NA;0;;
274;diferencas;723;1;1;NA;NA;0;;
275;indenizacao resolucao 92014art 1 v5;715;0;1;NA;NA;0;;
276;despesa com transporte;712;0;1;NA;NA;0;;
277;indenizacao de remunaracao;704;0;1;NA;NA;0;;
278;dif indenizacao de licenca compensatoria magistrados;696;0;1;NA;NA;0;;
279;abono de permanencia sobre verba retroativa ats;678;0;1;NA;NA;0;;
280;gratificacao de presenca;666;0;1;NA;NA;0;;
281;gratjuiz assistente rescnj 722009;661;0;1;NA;NA;0;;
282;adicional por tempo de servico magistrado provisorio;658;0;17;NA;NA;0;;
283;dif subsidio auxiliar corregedoriapresidencia;658;0;1;NA;NA;0;;
284;indenizacao lic premio res tj 122023ativo;653;0;1;NA;NA;0;;
285;design equiv lei 843292;650;0;1;NA;NA;0;;
286;reprlei 553509 vi e viipecunia licenca exerant;646;0;1;NA;NA;0;;
287;outras verbas indenizatorias;642;1;1;NA;NA;0;;
288;correcao monetaria auxilios;640;0;1;NA;NA;0;;
289;indenizacao remuneracao;633;0;1;NA;NA;0;;
290;devolucao de valores;609;0;1;NA;NA;0;;
291;diferencasdevolucoes de indenizacoes;601;0;1;NA;NA;0;;
292;dj ntj devolucao ir sobre abono permanencia;601;0;1;NA;NA;0;;
293;dj ntj devolucao ir s abono permanencia;600;0;1;NA;NA;0;;
294;gratjuiz substituto de 2o grau;599;0;1;NA;NA;0;;
295;representacao magistrado presidente;591;0;22;NA;NA;0;;
296;gratificacao exercicio cumulativo;589;1;1;NA;NA;0;;
297;abono pecuniario magistrados;586;0;1;NA;NA;0;;
298;vpni gel pp 603 cnj;585;0;1;NA;NA;0;;
299;abono pecuniario ferias;584;0;2;NA;NA;0;;
300;devolucoes de valores convocacoes;583;0;1;NA;NA;0;;
301;servicos extraordinarios;572;1;1;NA;NA;0;;
302;grat acumulo acervo exerc anterior;568;0;1;NA;NA;0;;
303;designacaosubstituicao indenizacao de compensacao de horas licenca compensatoria;565;0;1;NA;NA;0;;
304;gratificacao eleitoral ref 072019;564;0;1;NA;NA;0;;
305;gratificacao eleitoral ref 072018;555;0;1;NA;NA;0;;
306;gratificacao;553;1;1;NA;NA;0;;
307;inden conv ferias em pecunia;551;1;1;NA;NA;0;;
308;vantpessoal mp1573lei 952797;542;0;1;NA;NA;0;;
309;gratificacao eleitoral ref 012018;541;0;1;NA;NA;0;;
310;gratificacao eleitoral ref 102019;532;0;1;NA;NA;0;;
311;gratificacao eleitoral ref 082019;531;0;1;NA;NA;0;;
312;gratificacao eleitoral ref 052018;529;0;1;NA;NA;0;;
313;gratificacao eleitoral ref 072023;529;0;1;NA;NA;0;;
314;gratificacao local de trabalho;529;2;2;NA;NA;0;;
315;gratificacao eleitoral ref 072022;526;0;1;NA;NA;0;;
316;gratificacao eleitoral ref 062022;525;0;1;NA;NA;0;;
317;gratificacao eleitoral ref 062018;523;0;1;NA;NA;0;;
318;gratificacao eleitoral ref 112018;514;0;1;NA;NA;0;;
319;gratificacao eleitoral ref 092019;513;0;1;NA;NA;0;;
320;despexercantatcorrmonetpsir;512;0;1;NA;NA;0;;
321;gratificacao eleitoral ref 032019;511;0;1;NA;NA;0;;
322;gratificacao eleitoral ref 012019;510;0;1;NA;NA;0;;
323;gratificacao eleitoral ref 112019;510;0;1;NA;NA;0;;
324;gratificacao eleitoral ref 032018;509;0;1;NA;NA;0;;
325;gratificacao eleitoral ref 062024;503;0;1;NA;NA;0;;
326;gratificacao eleitoral ref 122019;502;0;1;NA;NA;0;;
327;ind pla restjoe122015ant;500;0;1;NA;NA;0;;
328;gratificacao eleitoral ref 062019;499;0;1;NA;NA;0;;
329;cotaparte do aux preescolar;498;0;1;NA;NA;0;;
330;indenizacao de compensacao de horas indenizacao de licenca premio;496;0;1;NA;NA;0;;
331;vantagem lei 171152 art 184 20 dec jud;496;0;1;NA;NA;0;;
332;adicional por tempo de servico decisao cjf acordao 04062932022;495;0;1;NA;NA;0;;
333;gratificacao eleitoral ref 042019;495;0;1;NA;NA;0;;
334;vencimentos subsidios;493;0;1;NA;NA;0;;
335;gratificacao eleitoral ref 042022;492;0;1;NA;NA;0;;
336;indenizacao resolucao 92014art 1o vi5;490;0;1;NA;NA;0;;
337;auxilio transporte;489;1;2;NA;NA;0;;
338;gratificacao eleitoral ref 052019;489;0;1;NA;NA;0;;
339;166 quinquenio;487;0;1;NA;NA;0;;
340;gratificacao eleitoral ref 032021;487;0;1;NA;NA;0;;
341;substituicao de membros;482;1;1;NA;NA;0;;
342;gratificacao eleitoral ref 122018;476;0;1;NA;NA;0;;
343;gratificacao eleitoral ref 042018;475;0;1;NA;NA;0;;
344;gratificacao eleitoral ref 022020;474;0;1;NA;NA;0;;
345;pecunia licenca vigente;474;0;1;NA;NA;0;;
346;vant pessoal ats pa 259712022 inat prov;473;0;1;NA;NA;0;;
347;gratificacao eleitoral ref 082018;472;0;1;NA;NA;0;;
348;gratificacao eleitoral ref 012024;471;0;1;NA;NA;0;;
349;gratificacao eleitoral ref 012020;467;0;1;NA;NA;0;;
350;gratificacao eleitoral ref 102021;464;0;1;NA;NA;0;;
351;gratificacao eleitoral ref 102023;463;0;1;NA;NA;0;;
352;lincenca premio;463;1;1;NA;NA;0;;
353;media mensal;463;0;1;NA;NA;0;;
354;gratificacao eleitoral ref 072024;462;0;1;NA;NA;0;;
355;decisao judicial;461;0;1;NA;NA;0;;
356;gratificacao eleitoral ref 122021;461;0;1;NA;NA;0;;
357;gratificacao eleitoral ref 022019;460;0;1;NA;NA;0;;
358;gratificacao eleitoral ref 112022;460;0;1;NA;NA;0;;
359;assistencia medicosocial;458;0;1;NA;NA;0;;
360;gratificacao eleitoral ref 052022;457;0;1;NA;NA;0;;
361;despexercantat juros mora cir;456;0;1;NA;NA;0;;
362;gratificacao eleitoral ref 102018;455;0;1;NA;NA;0;;
363;gratificacao eleitoral ref 092018;453;0;1;NA;NA;0;;
